Symbol,Name,ChangeRate,Price,Chg,Heat,HeatChg,Volume,Turnover,P/E TTM,P/E LFY,Div Yield TTM,P/B,Open,PrevClose,High,Low,Bid,Ask,BidSize,AskSize,TurnoverPercent,,RangeRate,Vol Ratio,Bid/Ask Ratio,Industry,Mkt Cap,Float Mkt Cap,Total Shares,Free Float,5D Chg,10D Chg,20D Chg,60D Chg,120D Chg,250D Chg,YTD Chg,Pre-Mkt Price,Pre-Mkt Chg Rate,Pre-Mkt Chg,Post-Mkt Price,Post-Mkt Chg Rate,Post-Mkt Chg,Candle_Pattern,Squeeze,True_Range,VWAP,VWAP_Reclaim,Volume_Spike,Wick_Spike,Short_Fade,Liquidity_Score,Liquidity_Status,MFV,Recursor,Imminent,Failed_Breakdown,Gap_Fill,Momentum,Composite_Short,H_Score_Composite_S,Buildup,Composite_Mid,H_Score_Composite_M,Strong_Base,Composite_Long,H_Score_Composite_L,Sector_Score
00048,C AUTO INT DECO,0.0165,0.185,+0.003,0,0,804800.0,150644.0,0.722,1.094,0.0,0.167,0.185,0.182,0.19,0.185,0.185,0.19,10000,50000,0.46%,0.00%,0.0275,2.06,0.0196,Auto Parts,32396294.24,32396294.24,175115104.0,175115104.0,0.0278,-0.0054,0.0278,-0.28850000000000003,0.0278,1.5341999999999998,0.0882,,,,,,,-1,0,0.008000000000000007,0.18666666666666668,0,1,0,,13.707055535009529,Low,-804800.0,,0.7,,,,0.7,Imminent,,,,,,,0.0031999999999999997
00830,CSC DEVELOPMENT,-0.0296,1.31,-0.040,0,-195,1554000.0,2049980.0,6.093,4.548,0.0748,0.964,1.35,1.35,1.35,1.3,1.31,1.34,56000,106000,0.07%,0.00%,0.037000000000000005,1.23,0.4878,Engineering & Construction,2954108950.00,2954108950.00,2255045000.0,2255045000.0,-0.0643,-0.1149,-0.1382,-0.0978,-0.18230000000000002,-0.3002,-0.2607,,,,,,,,0,0.050000000000000044,1.32,0,0,0,,15.791923066134645,Low,-932400.0,,,,,,,,,,,,,,0.01427142857142857
01080,SHENGLI PIPE,0.1585,0.095,+0.013,0,-289,16692000.0,1617643.0,,Loss,0.0,0.879,0.083,0.082,0.102,0.083,0.094,0.095,601500,64500,0.43%,-4.04%,0.23170000000000002,6.7,-0.5654,Oil & Gas Services,368064732.00,368064732.00,3874365600.0,3874365600.0,0.2838,0.131,-0.2963,1.6388999999999998,1.4359,3.3182,2.0645,,,,,,,,0,0.01999999999999999,0.09333333333333334,1,1,0,,15.19076371920915,Low,4392631.578947375,,,,,0.9,0.9,Momentum,,,,,,,0.0038307692307692396
01638,KAISA GROUP,0.0253,0.162,+0.004,0,545,7508425.0,1213659.0,,Loss,0.0,,0.158,0.158,0.165,0.154,0.161,0.162,863000,178000,0.08%,-0.61%,0.0696,3.47,-0.5611999999999999,Real Estate Developers,1476705894.89,1476705894.89,9115468487.0,9115468487.0,0.11720000000000001,0.0385,0.0385,0.0385,-0.19,0.7802,-0.1818,,,,,,,,0,0.01100000000000001,0.16033333333333333,1,1,0,,15.971616333240053,Low,3412920.4545454546,,,,,0.9,0.9,Momentum,,,,,,,0.03300428571428571
00591,C HIGHPRECISION,0.046,0.455,+0.020,0,42,6404000.0,2798880.0,,Loss,0.0,0.256,0.43,0.435,0.455,0.42,0.45,0.455,50000,98000,0.62%,2.21%,0.0805,1.1,0.0254,Industrial Parts & Equipment,472062500.00,472062500.00,1037500000.0,1037500000.0,-0.0215,-0.0319,0.16670000000000001,0.9612,0.7843000000000001,2.9564999999999997,2.5271,,,,,,,,0,0.03500000000000003,0.44333333333333336,1,0,0,,16.185670328323244,Low,6404000.0,,,,1.4,,1.4,Gap_Fill,,,,,,,-0.0102121212121212
00623,SINOMEDIA,0.034,2.74,+0.090,0,0,2187000.0,5922250.0,10.703,11.183,0.127,0.527,2.66,2.65,2.78,2.61,2.74,2.77,2000,36000,0.46%,0.00%,0.0642,1.74,-0.5579999999999999,Advertising Agencies,1290658833.80,1290658833.80,471043370.0,471043370.0,0.0787,0.1464,0.0111,-0.0552,0.5838,4.2692000000000005,1.6095,,,,,,,,0,0.16999999999999993,2.7099999999999995,1,0,0,,16.974606145820204,Low,1157823.5294117746,,,,,,,,,,,,,,0.00744999999999999
00538,AJISEN (CHINA),0.0377,1.1,+0.040,0,42,3701000.0,4012460.0,100.0,Loss,0.0582,0.382,1.08,1.06,1.1,1.05,1.09,1.1,28000,306000,0.34%,0.00%,0.0472,2.47,0.0242,Catering,1200692702.00,1200692702.00,1091538820.0,1091538820.0,0.0891,0.1458,0.18280000000000002,0.3095,0.455,0.36479999999999996,0.3995,,,,,,,,1,0.050000000000000044,1.0833333333333335,1,1,0,,16.667493803829338,Low,3701000.0,,,,,,,,0.7007,0.7007,Buildup,,,,0.005925
00546,FUFENG GROUP,0.0064,9.49,+0.060,0,538,7926000.0,75281003.0,7.082,9.528,0.042300000000000004,1.105,9.45,9.43,9.62,9.4,9.47,9.49,111000,17000,0.32%,0.21%,0.0233,0.93,-0.1485,Food Additives,23793717441.13,23793717441.13,2507241037.0,2507241037.0,0.0326,-0.0063,0.015,0.3442,0.5686,1.4713999999999998,0.8042,,,,,,,0,0,0.21999999999999886,9.503333333333332,0,0,0,,20.62505121917919,Liquid,-1441090.909090886,,0.7,,,,0.7,Imminent,,,,,,,0.00704
01899,XINGDA INT'L,0.0161,1.26,+0.020,0,0,1283000.0,1615480.0,7.974,8.344,0.11900000000000001,0.339,1.26,1.24,1.27,1.25,1.25,1.26,123000,730000,0.07%,0.00%,0.0161,9.02,-0.1578,Commercial Vehicles,2419357750.74,2419357750.74,1920125199.0,1920125199.0,0.008,0.0161,0.0161,0.0862,0.008,0.1351,-0.0455,,,,,,,0,0,0.030000000000000027,1.26,0,1,0,,16.305904873956557,Low,0.0,,0.7,,,,0.7,Imminent,,,,,,,0.011853846153846147
03303,JUTAL OIL SER,-0.0167,0.59,-0.010,0,-199,228000.0,135400.0,17.878,6.276,0.0508,0.514,0.61,0.6,0.61,0.59,0.59,0.61,66000,150000,0.01%,-1.67%,0.0333,0.67,-0.6494,Oil & Gas Services,1257643049.51,1257643049.51,2131598389.0,2131598389.0,-0.0484,-0.032799999999999996,-0.0635,-0.1449,-0.09230000000000001,0.0727,-0.16899999999999998,,,,,,,,0,0.020000000000000018,0.5966666666666667,0,0,0,,13.511210595060057,Low,-228000.0,,,,,,,,,,,,,,0.0038307692307692396
00776,IMPERIUM TEC GP,0.0,0.92,0.000,0,-292,128000.0,116735.0,,Loss,0.0,,0.93,0.92,0.94,0.9,0.9,0.92,80500,500,0.03%,0.00%,0.0435,0.08,0.7006,Gaming,343383744.00,343383744.00,373243200.0,373243200.0,-0.0213,-0.10679999999999999,-0.1636,-0.508,-0.5354,-0.5282,-0.7829999999999999,,,,,,,,0,0.039999999999999925,0.9199999999999999,1,0,0,,inf,Liquid,3.5527136788005077e-10,,,,,,,,,,,,,,0.032383333333333326
08249,RUIYUAN IC TECH,0.0805,0.188,+0.014,0,-230,685000.0,126540.0,,Loss,0.0,,0.173,0.174,0.21,0.173,0.178,0.188,5000,5000,0.53%,0.00%,0.2126,2.3,-0.8017,Electronic Components,94000000.00,24440000.00,500000000.0,130000000.0,-0.0105,0.0387,-0.3037,0.4921,0.3239,1.0659,1.1609,,,,,,,,0,0.037000000000000005,0.19033333333333333,0,1,0,,12.549296875159515,Low,-129594.59459459418,,,,,,,,,,,,,,-0.0049249999999999815
02218,ANDRE JUICE,-0.0081,17.23,-0.140,0,39,681000.0,11750960.0,16.347,20.884,0.0158,1.999,17.66,17.37,17.66,17.0,17.18,17.23,3500,1000,0.96%,-1.16%,0.038,0.98,-0.9581000000000001,Non-Alcoholic Beverages,5878876000.00,1217540720.00,341200000.0,70664000.0,0.042300000000000004,-0.0507,-0.0554,-0.040999999999999995,0.7356999999999999,1.0868,0.9024,,,,,,,,0,0.6600000000000001,17.296666666666667,0,0,0,,18.76987163381111,Norm,-206363.63636363557,,,,,,,,,,,,,,0.0027866666666666734
01195,KINGWELL GROUP,0.0385,0.027,+0.001,0,283,1700889.0,43605.0,,Loss,0.0,0.71,0.027,0.026,0.027,0.025,0.025,0.027,68000,2584000,0.06%,0.00%,0.07690000000000001,0.75,-0.2002,Property Services & Management,78140476.90,78140476.90,2894091737.0,2894091737.0,0.0,0.125,0.2273,0.4211,0.5882000000000001,0.4211,0.6875,,,,,,,1,0,0.0019999999999999983,0.026333333333333334,1,0,0,,11.790955942631092,Low,1700889.0,,0.4,,,,0.4,Imminent,,,,,,,0.016737499999999992
02309,ZO FUTURE GROUP,0.0118,1.72,+0.020,0,-359,3842000.0,6536880.0,,Loss,0.0,4.354,1.7,1.7,1.75,1.62,1.7,1.72,16000,4000,0.42%,0.00%,0.0765,0.97,0.7615000000000001,Sports & Recreation Facilities,1587188294.24,1587188294.24,922783892.0,922783892.0,-0.0851,-0.0703,-0.0601,-0.2773,-0.22519999999999998,-0.3333,-0.2743,,,,,,,1,0,0.1299999999999999,1.6966666666666665,1,0,0,,17.489578876487794,Low,2068769.2307692277,,0.4,,1.6,,1.6,Gap_Fill,,,,,,,-0.006
00987,CH RENEW EN INV,0.0066,0.153,+0.001,0,39,834312.0,127669.0,10.2,21.857,0.0327,0.202,0.152,0.152,0.156,0.151,0.151,0.153,68000,16000,0.03%,0.00%,0.0329,1.1,-0.1634,Alternative/Renewable Energy,383442091.99,383442091.99,2506157464.0,2506157464.0,0.0066,-0.08380000000000001,0.0851,0.10869999999999999,0.53,0.5455,0.47119999999999995,,,,,,,,0,0.0050000000000000044,0.15333333333333332,0,0,0,,14.271961452920927,Low,-166862.40000000002,,,,,,,,,,,,,,0.00105
08178,CHINA INFO TECH,0.0556,2.85,+0.150,0,39,44000.0,124680.0,,Loss,0.0,1.428,2.71,2.7,2.86,2.7,2.7,2.85,4000,2000,0.04%,0.00%,0.0593,0.29,-0.0575,Internet services and infrastructure,287108145.00,287108145.00,100739700.0,100739700.0,-0.05,0.2309,0.1685,0.0638,0.1249,0.8806,-0.011399999999999999,,,,,,,,0,0.1599999999999997,2.8033333333333332,1,0,0,,12.702138597416218,Low,38500.00000000011,,,,,,,,,,,,,,-0.001763636363636327
