Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change,MA,Slope,Volatility,TrendStrength,Shock,Trend
20250917,4343.3798828125,4344.18994140625,4317.759765625,4323.77978515625,229714800,0.0,0.0,-0.3218369119505682,4293.676977539062,-0.5218079997303837,0.3517227699649294,-1.4835775340402717,-0.9150300732098148,Sideways
20250918,4322.8701171875,4327.89013671875,4308.5,4312.6201171875,261817800,0.0,0.0,-0.25809982291562505,4297.76298828125,-0.991769833799272,0.35983067671698504,-2.7562125687780683,-0.7172813203990008,Sideways
20250919,4315.669921875,4319.64013671875,4298.93994140625,4302.7099609375,502002900,0.0,0.0,-0.22979432411642797,4300.247485351562,-0.9559847337373362,0.352151135005856,-2.7147001349901623,-0.6525446073391378,Sideways
20250922,4307.580078125,4315.7001953125,4291.990234375,4297.3701171875,243104800,0.0,0.0,-0.12410419941102369,4302.291479492187,-0.9461925177072006,0.3544431046390818,-2.669518761468582,-0.35013856324668824,Bearish
20250923,4299.1298828125,4315.16015625,4281.02978515625,4302.669921875,294872700,0.0,0.0,0.12332669849177691,4305.239477539062,-0.8084926852484298,0.34504417098359075,-2.3431570599895144,0.3574229297664094,Bearish
20250924,4298.66015625,4301.6201171875,4286.2001953125,4290.39990234375,279673000,0.0,0.0,-0.28517222454989,4307.480981445313,-0.7720070047761207,0.3540610738566758,-2.1804345684401043,-0.8054322985681502,Bearish
20250925,4286.89013671875,4297.4599609375,4272.39013671875,4273.85986328125,254274300,0.0,0.0,-0.38551275962561693,4308.4849853515625,-0.8987634628836227,0.3654704314073576,-2.4591961090331016,-1.0548398078090206,Bearish
20250926,4274.240234375,4291.25,4265.97998046875,4265.97998046875,242661700,0.0,0.0,-0.18437391642621703,4308.298974609375,-0.8536476035383767,0.3585891675499816,-2.3805727578744884,-0.5141647687963643,Bearish
20250929,4272.77001953125,4279.06982421875,4264.990234375,4269.97998046875,326118600,0.0,0.0,0.09376509074852102,4307.994482421875,-0.6373697394413846,0.35755787486137586,-1.7825638428142325,0.2622375210862674,Bearish
20250930,4282.22021484375,4300.16015625,4272.47998046875,4300.16015625,329045900,0.0,0.0,0.7067989995104496,4308.077001953125,-0.058330424377672774,0.3737430539775014,-0.1560709256182836,1.8911361481864422,Sideways
